id,department_id,investment_name,category,investment_date,investment_amount,monthly_operating_cost,monthly_revenue_generated,estimated_benefit,utilization,patient_impact,status
1,1,Cardiac Catheterization Lab,equipment,2024-06-15,25000000.0,800000.0,1800000.0,35000000.0,78.0,180,excellent
2,1,ECG Monitoring System,technology,2025-01-10,3500000.0,120000.0,350000.0,5000000.0,85.0,280,excellent
3,1,Cardiac Rehab Center,infrastructure,2025-03-20,8000000.0,300000.0,650000.0,12000000.0,72.0,65,active
4,7,Advanced Trauma Equipment,equipment,2024-09-01,12000000.0,450000.0,900000.0,18000000.0,68.0,380,active
5,7,Emergency Triage System,technology,2025-02-15,4500000.0,150000.0,280000.0,6000000.0,62.0,920,active
6,2,Robotic Surgery System,equipment,2024-04-10,35000000.0,900000.0,1200000.0,45000000.0,48.0,22,underperforming
7,2,Digital X-Ray Suite,equipment,2025-05-01,5000000.0,180000.0,420000.0,7000000.0,71.0,320,active
8,8,Advanced Ventilator Fleet,equipment,2024-08-20,18000000.0,650000.0,1100000.0,25000000.0,79.0,40,excellent
9,8,Patient Monitoring Network,technology,2025-04-01,8500000.0,280000.0,480000.0,12000000.0,82.0,85,excellent
10,4,Dialysis Center Expansion,infrastructure,2024-11-15,15000000.0,500000.0,900000.0,22000000.0,74.0,65,active
11,4,Automated Lab Equipment,equipment,2025-06-01,6000000.0,200000.0,450000.0,8500000.0,80.0,950,excellent
12,5,Laparoscopic Suite,equipment,2024-07-01,20000000.0,600000.0,1400000.0,30000000.0,76.0,35,excellent
13,5,Surgical Robot Arm,equipment,2025-03-15,28000000.0,850000.0,1100000.0,38000000.0,55.0,28,active
14,6,Neonatal ICU Upgrade,infrastructure,2025-01-20,10000000.0,350000.0,550000.0,15000000.0,68.0,25,active
15,6,Pediatric Imaging Suite,equipment,2025-07-01,7000000.0,220000.0,380000.0,9500000.0,64.0,150,active
16,3,3T MRI Scanner,equipment,2024-05-10,30000000.0,750000.0,1500000.0,42000000.0,72.0,95,active
17,3,EEG Monitoring Lab,equipment,2025-04-15,4000000.0,130000.0,320000.0,5500000.0,77.0,120,excellent
18,3,Stroke Treatment Unit,infrastructure,2025-08-01,12000000.0,420000.0,680000.0,18000000.0,58.0,15,active
