id,department_id,name,cost,revenue,volume
1,1,ECG / EKG,1500.0,3500.0,291
2,1,Echocardiography,7500.0,6500.0,128
3,1,Angioplasty,80000.0,180000.0,41
4,1,Cardiac Surgery,250000.0,500000.0,11
5,1,Cardiac Rehabilitation,15000.0,10000.0,69
6,2,X-Ray / Imaging,800.0,2000.0,336
7,2,Joint Replacement,150000.0,350000.0,20
8,2,Fracture Treatment,15000.0,35000.0,74
9,2,Physiotherapy,3800.0,2500.0,185
10,2,Arthroscopy,60000.0,120000.0,18
11,3,EEG,2500.0,5000.0,109
12,3,MRI Brain,5000.0,12000.0,95
13,3,Stroke Treatment,80000.0,180000.0,12
14,3,Neurological Consultation,1500.0,3000.0,191
15,3,EMG / NCV,7200.0,5500.0,78
16,4,OPD Consultation,500.0,1200.0,831
17,4,Blood Tests / Pathology,300.0,800.0,870
18,4,General Treatment,5000.0,12000.0,328
19,4,Health Checkup,3200.0,2200.0,196
20,4,Dialysis,8000.0,18000.0,55
21,5,Minor Surgery,15000.0,35000.0,103
22,5,Laparoscopy,40000.0,90000.0,37
23,5,Appendectomy,25000.0,60000.0,26
24,5,Hernia Repair,30000.0,70000.0,19
25,5,Post-op Care,3000.0,8000.0,204
26,6,Pediatric Consultation,600.0,1500.0,332
27,6,Vaccination,1800.0,1200.0,245
28,6,Neonatal Care,20000.0,50000.0,21
29,6,Pediatric Surgery,50000.0,120000.0,8
30,6,Growth Assessment,1000.0,2500.0,154
31,7,Triage & Assessment,2000.0,1200.0,1004
32,7,Emergency Treatment,8000.0,20000.0,406
33,7,Trauma Care,30000.0,75000.0,45
34,7,Emergency Surgery,60000.0,150000.0,20
35,7,Ambulance Service,7500.0,4000.0,115
36,8,ICU Bed Day,15000.0,35000.0,86
37,8,Ventilator Support,8000.0,20000.0,43
38,8,Critical Monitoring,15500.0,12000.0,88
39,8,Life Support,20000.0,45000.0,22
40,8,ICU Nursing Care,3000.0,8000.0,86
