id,department_id,date,readmission_rate,complication_rate,mortality_indicator,patient_satisfaction,treatment_outcome_score
1,1,2025-10-01,3.8,2.0,0.91,87.3,84.8
2,1,2025-11-01,4.4,2.1,0.64,83.1,85.9
3,1,2025-12-01,4.5,2.1,0.87,86.2,84.6
4,1,2026-01-01,4.0,2.0,0.66,85.4,90.6
5,1,2026-02-01,4.2,1.9,0.93,86.7,83.7
6,1,2026-03-01,4.2,1.9,0.69,85.5,89.0
7,1,2026-04-01,3.9,2.0,0.85,83.1,92.2
8,1,2026-05-01,3.8,2.1,0.8,89.4,88.5
9,1,2026-06-01,4.1,2.1,0.84,89.3,85.8
10,1,2026-07-01,3.7,2.3,0.75,87.6,89.1
11,1,2026-08-01,4.5,2.2,0.75,82.9,88.4
12,1,2026-09-01,4.5,1.9,0.89,85.8,89.7
13,2,2025-10-01,3.9,3.1,0.25,82.8,84.6
14,2,2025-11-01,3.6,2.4,0.26,78.0,88.7
15,2,2025-12-01,3.8,3.2,0.31,79.4,87.2
16,2,2026-01-01,3.5,2.7,0.33,83.4,83.6
17,2,2026-02-01,3.5,2.7,0.35,82.6,88.4
18,2,2026-03-01,3.7,3.2,0.3,81.0,88.6
19,2,2026-04-01,3.8,3.1,0.33,78.3,85.9
20,2,2026-05-01,4.1,2.8,0.28,78.3,86.4
21,2,2026-06-01,3.6,2.9,0.29,82.2,83.7
22,2,2026-07-01,3.4,3.1,0.28,84.2,83.1
23,2,2026-08-01,4.2,3.2,0.25,81.9,83.8
24,2,2026-09-01,4.1,3.0,0.35,78.7,85.9
25,3,2025-10-01,6.2,2.5,0.99,79.7,78.9
26,3,2025-11-01,5.6,3.0,1.25,79.1,83.6
27,3,2025-12-01,5.6,3.1,1.24,78.2,79.2
28,3,2026-01-01,6.0,2.7,1.01,79.5,80.0
29,3,2026-02-01,5.6,3.0,1.09,76.5,79.6
30,3,2026-03-01,6.5,2.7,1.4,77.9,77.0
31,3,2026-04-01,6.3,2.9,1.39,77.7,76.7
32,3,2026-05-01,6.1,3.2,1.11,77.0,76.5
33,3,2026-06-01,5.9,3.2,1.37,79.3,83.4
34,3,2026-07-01,6.0,3.2,1.2,75.6,77.6
35,3,2026-08-01,5.3,3.2,0.97,78.3,79.0
36,3,2026-09-01,6.2,2.9,1.25,75.4,78.5
37,4,2025-10-01,5.7,2.6,0.91,80.7,85.7
38,4,2025-11-01,4.6,2.7,0.95,78.7,84.5
39,4,2025-12-01,4.9,2.7,1.0,79.9,80.4
40,4,2026-01-01,5.7,2.4,1.05,76.2,79.9
41,4,2026-02-01,4.7,2.2,0.84,80.3,81.7
42,4,2026-03-01,5.6,2.7,1.02,77.4,84.1
43,4,2026-04-01,5.2,2.1,0.83,79.2,83.0
44,4,2026-05-01,4.7,2.7,0.78,80.0,84.8
45,4,2026-06-01,5.2,2.6,0.92,81.1,79.1
46,4,2026-07-01,4.5,2.5,0.93,80.0,85.2
47,4,2026-08-01,5.0,2.5,0.9,79.8,81.3
48,4,2026-09-01,5.7,2.4,1.01,80.2,81.3
49,5,2025-10-01,4.0,2.7,0.59,79.9,81.5
50,5,2025-11-01,4.6,2.9,0.65,81.5,87.0
51,5,2025-12-01,5.0,2.8,0.57,80.4,82.5
52,5,2026-01-01,4.5,2.9,0.54,77.4,82.2
53,5,2026-02-01,4.4,3.2,0.54,82.3,81.1
54,5,2026-03-01,4.3,3.2,0.56,81.7,84.0
55,5,2026-04-01,4.5,3.1,0.55,76.9,87.7
56,5,2026-05-01,4.5,3.5,0.53,79.1,80.2
57,5,2026-06-01,4.5,3.5,0.64,79.8,84.3
58,5,2026-07-01,4.9,3.0,0.69,81.5,86.2
59,5,2026-08-01,4.4,3.0,0.62,78.0,84.4
60,5,2026-09-01,4.0,3.1,0.66,78.6,88.1
61,6,2025-10-01,3.3,1.3,0.24,88.2,93.7
62,6,2025-11-01,3.1,1.7,0.22,86.9,91.1
